Centre_Title_x,Centre_Address,Eircode,Latitude,Longitude,County_x,Maximum_Occupancy,Centre_Phone,Processed_CT,Processed_County,Centre_Title_y,County_y,Cost of Care
Brookvale Manor Private Nursing Home,"Hazel Hill, Ballyhaunis, F35 HX77",F35HX77,53.75894719999999,-8.7811418,Mayo,50,094 963 1555,brookvale manor private nursing home,mayo,Brookvale Manor Private Nursing Home,Co. Mayo,1110
Brymore House,"Thormanby Road, Howth, D13 VK82",D13VK82,53.38258210000001,-6.0595655,Dublin,25,01 832 6244,brymore house,dublin,Brymore House,Co. Dublin,1267
Bushfield Care Centre,"Bushfield, Oranmore, H91 Y299",H91Y299,53.2744241,-8.8841731,Galway,45,091 792 301,bushfield care centre,galway,Bushfield Care Centre,Co. Galway,1079
Bushmount Nursing Home,"Bushmount, Clonakilty, P85 VP94",P85VP94,51.6211583,-8.895048599999999,Cork,79,023 883 3991,bushmount nursing home,k,Bushmount Nursing Home,Co. Cork,1155
Bushy Park Nursing Home,"Nenagh Road, Borrisokane, E45 TX95",E45TX95,52.98829629999999,-8.133209899999999,Tipperary,34,067 274 42,bushy park nursing home,tipperary,Bushy Park Nursing Home,Co. Tipperary,1120
Caherass Nursing Home,"Caherass, Croom, V35 RP28",V35RP28,52.536942,-8.718316999999999,Limerick,50,061 600 930,caherass nursing home,limerick,Caherass Nursing Home,Co. Limerick,1120
Cahercalla Community Care,"Cahercalla Road, Ennis, V95 NR59",V95NR59,52.8328995,-9.0038016,Clare,112,065 682 4388,cahercalla community care,clare,Cahercalla Community Care,Co. Clare,1145
Cahereen Residential Care Centre,"Codrum, Macroom, P12 ND25",P12ND25,51.9073185,-8.9950017,Cork,27,026 412 80,cahereen residential care centre,k,Cahereen Residential Care Centre,Co. Cork,1180
Cairnhill Nursing Home,"Herbert Road, Bray, A98 VF88",A98VF88,53.1988139,-6.1258319,Wicklow,93,01 201 4699,cairnhill nursing home,wicklow,Cairnhill Nursing Home,Co. Wicklow,1230
Caiseal Geal Teach Altranais,"School Road, Castlegar, H91 P2K1",H91P2K1,53.2995682,-9.0173841,Galway,42,091 757 609,caiseal geal teach altranais,galway,Caiseal Geal Teach Altranais,Co. Galway,1120
Cara Care Centre,"Northwood Park, Santry, D09HW01",D09HW01,53.4019053,-6.258181,Dublin,102,01 894 0600,cara care centre,dublin,Cara Care Centre,Co. Dublin,1298
CareBright Community,"Ardykeohane, Bruff, V35 H922",V35H922,52.4762825,-8.5417885,Limerick,18,061 602 700,carebright community,limerick,CareBright Community,Co. Limerick,1095
CareChoice Ballynoe,"Whites Cross, T23 VH39",T23VH39,51.94181320000001,-8.4523229,Cork,46,021 430 0534,carechoice ballynoe,k,CareChoice Ballynoe,Co. Cork,1190
CareChoice Clonakilty,"Clogheen, Clonakilty, P85 PX09",P85PX09,51.6175447,-8.9043988,Cork,50,023 883 6300,carechoice clonakilty,k,CareChoice Clonakilty,Co. Cork,1190
Carechoice Dungarvan,"The Burgery, Dungarvan, X35 DE02",X35DE02,52.0999649,-7.6046737,Waterford,109,058 40 200,carechoice dungarvan,waterford,Carechoice Dungarvan,Co. Waterford,1160
CareChoice Finglas,"Finglas Road, Tolka Valley, Finglas, D11 X4YP",D11X4YP,53.3820472,-6.2920894,Dublin,89,01 880 0900,carechoice finglas,dublin,CareChoice Finglas,Co. Dublin,1265
CareChoice Macroom,"Gurteenroe, Macroom, P12 VW62",P12VW62,51.9050618,-8.9724149,Cork,62,026 42 366,carechoice macroom,k,CareChoice Macroom,Co. Cork,1190
CareChoice Malahide,"Mayne River Street, Northern Cross, Malahide Road, D17 YF77",D17YF77,53.405691,-6.1802238,Dublin,165,01 877 0844,carechoice malahide,dublin,CareChoice Malahide,Co. Dublin,1325
Carechoice Montenotte,"Middle Glanmire Road, Montenotte, T23 A583",T23A583,51.9066584,-8.4420985,Cork,111,021 486 1777,carechoice montenotte,k,Carechoice Montenotte,Co. Cork,1206
Carechoice Swords,"Bridge Street, Swords, K67F5D0",K67F5D0,53.45906069999999,-6.2223929,Dublin,157,01 877 0844,carechoice swords,dublin,Carechoice Swords,Co. Dublin,1325
CareChoice Trim,"Knightsbridge Village, Longwood Road, Trim, C15 W8PF",C15W8PF,53.5463142,-6.7970082,Meath,174,046 948 2700,carechoice trim,meath,CareChoice Trim,Co. Meath,1250
Carlingford Nursing Home,"Old Dundalk Road, Carlingford, A91 C853",A91C853,54.03311720000001,-6.1825367,Louth,44,042 938 3993,carlingford nursing home,louth,Carlingford Nursing Home,Co. Louth,1112
Carna Nursing and Retirement Home,"Teach Altranais Charna, Cuideachta Neamhtheoranta, Carna, Connemara, H91 YX64",H91YX64,53.3245161,-9.8397167,Galway,51,095 328 54,carna nursing and retirement home,galway,Carna Nursing and Retirement Home,Co. Galway,1135
Carnew Nursing Home,"Gorey Road, Carnew, Y14 H425",Y14H425,52.70948449999999,-6.483221899999999,Wicklow,90,0404 50796,carnew nursing home,wicklow,Carnew Nursing Home,Co. Wicklow,1180
Carrigoran House,"Carrigoran, Newmarket-on-Fergus, V95 YX84",V95YX84,52.751711,-8.9086678,Clare,109,061 368 100,carrigoran house,clare,Carrigoran House,Co. Clare,1079
Carthage Nursing Home,"Mucklagh, Tullamore, R35 EK85",R35EK85,53.2500796,-7.5503625,Offaly,59,057 935 2863,carthage nursing home,offaly,Carthage Nursing Home,Co. Offaly,1102
Carysfort Nursing Home,"7 Arkendale Road, Glenageary, A96 W566",A96W566,53.2802655,-6.117987599999999,Dublin,49,01 285 0780,carysfort nursing home,dublin,Carysfort Nursing Home,Co. Dublin,1300
Castle Gardens Nursing Home,"Drumgoold, Enniscorthy, Y21 EP11",Y21EP11,52.4923568,-6.539799899999999,Wexford,64,053 923 5566,castle gardens nursing home,wexford,Castle Gardens Nursing Home,Co. Wexford,1125
Castlebridge Manor Nursing Home,"Ballyboggan Lower, Castlebridge, Y35 C526",Y35C526,52.39002370000001,-6.4541067,Wexford,95,053 915 9677,castlebridge manor nursing home,wexford,Castlebridge Manor Nursing Home,Co. Wexford,1115
Castlemanor Nursing Home,"Castlemanor Retirement Village, Billil, Drumalee, H12VH73",H12VH73,53.9986791,-7.3420207,Cavan,75,049 432 7100,castlemanor nursing home,cavan,Castlemanor Nursing Home,Co. Cavan,1163
Castleross,"Carrickmacross, A81X242",A81X242,54.0249785,-6.708281599999999,Monaghan,125,042 969 2630,castleross,monaghan,Castleross,Co. Monaghan,1097
Catherine McAuley House,"Old Dominic Street, V94 DX58",V94DX58,52.6708587,-8.624166899999999,Limerick,33,061 315 313,catherine mcauley house,limerick,Catherine McAuley House,Co. Limerick,1095
Catherine McAuley House,"Beaumont Woods, Beaumont, D09A9PD",D09A9PD,53.39144100000001,-6.2266273,Dublin,35,01 837 9186,catherine mcauley house,dublin,Catherine McAuley House,Co. Dublin,1307
Central Park Nursing Home,"Clonberne, Ballinasloe, H53 KN24",H53KN24,53.5596973,-8.6460869,Galway,70,093 45 231 / 45496 / 45570,central park nursing home,galway,Central Park Nursing Home,Co. Galway,1032
Charleville Nursing Home,"Station Road, Rathgoggan, Charleville, P56 F386",P56F386,52.348489,-8.6706051,Cork,60,063 813 96,charleville nursing home,k,Charleville Nursing Home,Co. Cork,1208
Cherry Grove Nursing Home,"Priesthaggard, Campile, New Ross, Y34 TC61",Y34TC61,52.3085873,-6.9653455,Wexford,60,051 388 060,cherry grove nursing home,wexford,Cherry Grove Nursing Home,Co. Wexford,1035
Cherryfield Lodge Nursing Home,"Milltown Park, D06 PN79",D06PN79,53.3172258,-6.2474262,Dublin,20,01 498 5800,cherryfield lodge nursing home,dublin,Cherryfield Lodge Nursing Home,Co. Dublin,1251
Claremount Nursing Home,"Claremount, Claremorris, F12C436",F12C436,53.7323897,-8.993273199999999,Mayo,70,094 937 3111,claremount nursing home,mayo,Claremount Nursing Home,Co. Mayo,1120
Clarenbridge Care Centre,"Ballygarriff, Craughwell, H91 RW18",H91RW18,53.2357239,-8.8239653,Galway,61,091 777 700,clarenbridge care centre,galway,Clarenbridge Care Centre,Co. Galway,1125
Clearbrook Nursing Home,"Heathfield View, Cappagh Road, Finglas West, D11 CX2T",D11CX2T,53.39478459999999,-6.3199992,Dublin,90,01 808 1188,clearbrook nursing home,dublin,Clearbrook Nursing Home,Co. Dublin,1327
Clondalkin Lodge Residential Home,"New Road, Clondalkin, D22 R9Y7",D22R9Y7,53.31815289999999,-6.3936001,Dublin,150,01 244 0418,clondalkin lodge residential home,dublin,Clondalkin Lodge Residential Home,Co. Dublin,1300
Clontarf Private Nursing Home,"5-7 Clontarf Road, Clontarf , D03 NA78",D03NA78,53.36388549999999,-6.2241601,Dublin,34,01 833 5455,clontarf private nursing home,dublin,Clontarf Private Nursing Home,Co. Dublin,1283
Cloverlodge Nursing Home,"Clonmullion, Athy, R14 DD43",R14DD43,52.9974746,-6.9808719,Kildare,60,059 864 0623,cloverlodge nursing home,kildare,Cloverlodge Nursing Home,Co. Kildare,1173
Cobh Community Hospital,"Aileen Terrace, Cobh, P24 AD85",P24AD85,51.85384310000001,-8.2989336,Cork,44,021 481 1345,cobh community hospital,k,Cobh Community Hospital,Co. Cork,1270
College View Nursing Home,"Clones Road, Cavan, H12 ER27",H12ER27,54.0062235,-7.357676,Cavan,69,049 437 2929,college view nursing home,cavan,College View Nursing Home,Co. Cavan,1153
Corbally House Nursing Home,"Mill Road, Corbally, V94 KC78",V94KC78,52.6877433,-8.6221544,Limerick,40,061 343 267,corbally house nursing home,limerick,Corbally House Nursing Home,Co. Limerick,1080
Corpus Christi Nursing Home,"Mitchelstown, P67 X528",P67X528,52.2603599,-8.2753974,Cork,42,025 84 844,corpus christi nursing home,k,Corpus Christi Nursing Home,Co. Cork,1075
Craddock House Nursing Home,"Craddockstown Road, Naas, W91 D432",W91D432,53.2067238,-6.65196,Kildare,89,045 898 600,craddock house nursing home,kildare,Craddock House Nursing Home,Co. Kildare,1265
Cratloe Nursing Home,"Gallows Hill, Cratloe, V95 NY72",V95NY72,52.7028945,-8.7662312,Clare,32,061 357 142,cratloe nursing home,clare,Cratloe Nursing Home,Co. Clare,1120
