Statistic Label,CensusYear,Sex,Single Year of Age,County and City,UNIT,VALUE
Population,2022,Both sexes,71 years,Dublin City,Number,3905
Population,2022,Both sexes,71 years,Donegal,Number,1626
Population,2022,Both sexes,71 years,Dún Laoghaire-Rathdown,Number,1877
Population,2022,Both sexes,71 years,Fingal,Number,1961
Population,2022,Both sexes,71 years,Galway City,Number,550
Population,2022,Both sexes,71 years,Galway County,Number,1762
Population,2022,Both sexes,71 years,Kildare,Number,1682
Population,2022,Both sexes,71 years,Kilkenny,Number,836
Population,2022,Both sexes,71 years,Kerry,Number,1652
Population,2022,Both sexes,71 years,Longford,Number,390
Population,2022,Both sexes,71 years,Louth,Number,1030
Population,2022,Both sexes,71 years,Limerick City and County,Number,1849
Population,2022,Both sexes,71 years,Leitrim,Number,373
Population,2022,Both sexes,71 years,Laois,Number,658
Population,2022,Both sexes,71 years,Meath,Number,1559
Population,2022,Both sexes,71 years,Monaghan,Number,556
Population,2022,Both sexes,71 years,Mayo,Number,1582
Population,2022,Both sexes,71 years,Offaly,Number,710
Population,2022,Both sexes,71 years,Roscommon,Number,676
Population,2022,Both sexes,71 years,South Dublin,Number,2419
Population,2022,Both sexes,71 years,Sligo,Number,735
Population,2022,Both sexes,71 years,Tipperary,Number,1531
Population,2022,Both sexes,71 years,Waterford City and County,Number,1100
Population,2022,Both sexes,71 years,Westmeath,Number,735
Population,2022,Both sexes,71 years,Wicklow,Number,1271
Population,2022,Both sexes,71 years,Wexford,Number,1484
Population,2022,Both sexes,72 years,State,Number,41124
Population,2022,Both sexes,72 years,Cork City and Cork County,Number,4649
Population,2022,Both sexes,72 years,Clare,Number,1241
Population,2022,Both sexes,72 years,Cavan,Number,689
Population,2022,Both sexes,72 years,Carlow,Number,526
Population,2022,Both sexes,72 years,Dublin City,Number,3853
Population,2022,Both sexes,72 years,Donegal,Number,1518
Population,2022,Both sexes,72 years,Dún Laoghaire-Rathdown,Number,1879
Population,2022,Both sexes,72 years,Fingal,Number,2066
Population,2022,Both sexes,72 years,Galway City,Number,521
